"unit","sector","na_item","geo","year","value","cofog99"
"PC_GDP","S13","TE","HR",2022,5,"GF09"
"PC_GDP","S13","TE","HR",2023,5.3,"GF09"
"PC_GDP","S13","TE","HR",2024,5,"GF09"
"PC_GDP","S13","TE","EU27_2020",2020,21.8,"GF10"
"PC_GDP","S13","TE","EU27_2020",2021,20.2,"GF10"
"PC_GDP","S13","TE","EU27_2020",2022,19.3,"GF10"
"PC_GDP","S13","TE","EU27_2020",2023,19.2,"GF10"
"PC_GDP","S13","TE","EU27_2020",2024,19.6,"GF10"
"PC_GDP","S13","TE","HR",2020,15.6,"GF10"
"PC_GDP","S13","TE","HR",2021,13.9,"GF10"
"PC_GDP","S13","TE","HR",2022,13,"GF10"
"PC_GDP","S13","TE","HR",2023,12.8,"GF10"
"PC_GDP","S13","TE","HR",2024,13.8,"GF10"
